username,text
47metersdown,"Four teen girls diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.47 Meters Down: Uncaged follows the diving adventure of four teenage girls (Sophie Nélisse, Corinne Foxx, Brianne Tju and Sistine Stallone) exploring a submerged Mayan City. Once inside, their rush of excitement turns into a jolt of terror as they discover the sunken ruins are a hunting ground for deadly Great White Sharks. With their air supply steadily dwindling, the friends must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell."
adogsjourneymovie,A dog finds the meaning of his own existence through the lives of the humans he meets.
aftermathmovie,"Post World War II, a British colonel and his wife are assigned to live in Hamburg during the post-war reconstruction, but tensions arise with the German who previously owned the house.Set in postwar Germany in 1946, Rachael Morgan (Keira Knightley) arrives in the ruins of Hamburg in the bitter winter, to be reunited with her husband Lewis (Jason Clarke), a British colonel charged with rebuilding the shattered city. But as they set off for their new home, Rachael is stunned to discover that Lewis has made an unexpected decision: They will be sharing the grand house with its previous owners, a German widower (Alexander Skarsgård) and his troubled daughter. In this charged atmosphere, enmity and grief give way to passion and betrayal.The film takes place in Germany after the Second World War. The country is going through a very difficult time: around devastation and famine. Lewis Morgan is a British military soldier appointed by the command as interim mayor of Hamburg. This person has to raise the city from scratch. He arrives here with his wife, with whom he settles in a luxurious mansion. A German architect also lives in it with his emotionally unstable daughter. This man is also working to rebuild the city."
aftermovie,"A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.Based on Anna Todd's novel, AFTER follows Tessa (Langford), a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart, as she enters her first semester in college. Armed with grand ambitions for her future, her guarded world opens up when she meets the dark and mysterious Hardin Scott (Tiffin), a magnetic, brooding rebel who makes her question all she thought she knew about herself and what she wants out of life.Tessa is your ideal teenage girl. Has excellent grades, a nice, polite and boring boyfriend, and got into the university of her dreams. Yet her world turns upside down when she meets a boy who's everything she despises. Drawn into his mysterious world, she finds something she's never had before, something that may change her forever.Tessa Young has her life set in stone. Perfect grades a perfect boyfriend. She attends college with the same lifestyle, that is until she meets Hardin. The guy she never knew she would fall for. Hardin on the other hand has his life messed up. He is disrespectful and hangs out with the wrong crowd. That is until he meets Tessa, the girl who may change his life forever. But will the trials of their relationship keep them together? Will lies get in the way?Tessa Young is an 18 year old, college freshman. Tessa has above average grades and is a devoted daughter with a nice boyfriend. Tessa always has things planned out. Until she meets a rude boy named Hardin with dark secrets and a troubled past."
alitamovie,"A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.Alita is a creation from an age of despair. Found by the mysterious Dr. Ido while trolling for cyborg parts, Alita becomes a lethal, dangerous being. She cannot remember who she is, or where she came from. But to Dr. Ido, the truth is all too clear. She is the one being who can break the cycle of death and destruction left behind from Tiphares. But to accomplish her true purpose, she must fight and kill. And that is where Alita's true significance comes to bear. She is an angel from heaven. She is an angel of death.In 2563, three hundred years after the war ""The Fall"", the mysterious scientist Dr. Dyson Ido finds part of a female cyborg in a junkyard and brings to his laboratory. He finds that her human brain is amnetic but intact and gives the name of his deceased daughter Alita to the cyborg. Alita meets on the street Dr. Ido's ex-wife Chiren, who is also a scientist that works to the powerful Zapan, and befriends the young Hugo, who brings cyborg's parts to Dr. Ido, and learns that both dream on moving to the floating city of Zalem. Hugo teaches Alita how to play Motorball and she learns that the champion of the Motorball Tournament moves to Zalem. Soon Alita discovers that Dr. Ido is a hunter warrior and after finding her cyborg body in a crashed spaceship, she decides to become also a hunter warrior but Dr. Ido refuses to replace her body. Who was Alita and what is the secret of the cyborg body found by Alita?Let us see what happens.Set in the 26th century, the story takes place 300 years after a societal collapse caused by a major war. In that society, it's a technological dark age following a pinnacle of achievement far beyond where we are right now. Cyborg technology is a way of life. People are augmented a lot as workers, so being a cyborg is not unusual. The main character is a cyborg. She has an organic human brain, and she looks like she's about fourteen years old. She has a completely artificial body and she's lost her memory. She is found in a wreckage and reconstituted by a cyber-surgeon who becomes her surrogate father.When Alita (Rosa Salazar) awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido (Christoph Waltz), a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past. As Alita learns to navigate her new life and the treacherous streets of Iron City, Ido tries to shield her from her mysterious history while her street-smart new friend Hugo (Keean Johnson) offers instead to help trigger her memories. But it is only when the deadly and corrupt forces that run the city come after Alita that she discovers a clue to her past - she has unique fighting abilities that those in power will stop at nothing to control. If she can stay out of their grasp, she could be the key to saving her friends, her family and the world she's grown to love."
angelhasfallen,"Secret Service Agent Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.After the events in the previous film, Secret Service agent Mike Banning finds himself framed for an assassination attempt on the President. Pursued by his own agency and the FBI, Banning races to clear his name and uncover the real terrorist threat which has set its sights on Air Force One."
angrybirdsmovie,"The flightless birds and scheming green pigs take their feud to the next level.After saving Bird Island from an all-out green-pig invasion in Angry Birds (2016), the isle's always cranky local hero, Red, still finds himself doing battle with Pig Island. As the prank war between pigs and birds is raging, massive icy projectiles coming from the feathery tyrant Zeta's ice-capped Eagle Island threaten the security of both havens, unless Red and King Leonard agree to form a difficult but honest truce. Now, Red, Bomb, Mighty Eagle, Chuck, and his brilliant sister, Silver, have to join forces with Leonard's mighty porcine team to thwart the megalomaniac Zeta's bold schemes for world domination. However, is Red capable of change?"
annabellemovie,"While babysitting the daughter of Ed and Lorraine Warren, a teenager and her friend unknowingly awaken an evil spirit trapped in a doll.Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her ""safely"" behind sacred glass and enlisting a priest's holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target--the Warrens' ten-year-old daughter, Judy, and her friends.Paranormal investigators Ed and Lorraine Warren keep a possessed doll locked up in an artifacts room in their house. When the doll awakens the room's evil spirits, it soon becomes a night of terror for the couple's young daughter and her friends.Determined to prevent Annabelle from creating even more chaos, demonologists Ed and Lorraine Warren bring the possessed doll into the artifact room that is locked in their home, isolated in a ""safe"" place, protected by a sacred glass and with the blessing of a priest. But what awaits them is a night of horror, as Annabelle awakens the evil spirits in the room, who turn their attention to a new target--the Warrens' 10-year-old daughter, Judy, and her friends.In an attempt to protect the world from Annabelle, Demonologists Ed and Lorraine Warren bring the possessed doll into their home and trap her spirit in a sacred glass and enlist the blessing of the holy priest. Unaware of the dangers created by the Annabelle doll, two teenage babysitters and the ten-year-old daughter of Ed and Lorraine Warren become the new target of this demonic spirit."
annamovie,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.
apollo11movie,A look at the Apollo 11 mission to land on the moon led by commander Neil Armstrong and pilots Buzz Aldrin and Michael Collins.
arcticmovie,"A man stranded in the Arctic after a plane crash must decide whether to remain in the relative safety of his makeshift camp or to embark on a deadly trek through the unknown.A man stranded in the Arctic after a plane crash must decide whether to remain in the relative safety of his makeshift camp or to embark on a deadly trek through the unknown in hopes of making it out alive.After a plane crash, a man fights to survive stranded alone in Arctic. When he sees a helicopter, he sees the chance to be saved but the helicopter also crashes and he rescues a wounded woman from the debris. After a long period, he decides to embark in a journey with the woman with hope to find salvation or death."
artofracingmovie,"Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.Dog lovers believe their canine family members understand language, comprehend events, have opinions, exude loyalty. In ""The Art of Racing In The Rain"", wise old dog Enzo Swift shares thoughts about the life experiences which prepared him to protect his family in times of greatest need."
avengers,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.After the devastating events of Avengers: Infinity War (2018), the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos's actions and undo the chaos to the universe, no matter what consequences may be in store, and no matter who they face...The grave course of events set in motion by Thanos, that wiped out half the universe and fractured the Avengers ranks, compels the remaining Avengers to take one final stand in Marvel Studios' grand conclusion to twenty-two films - Avengers: Endgame.After half of all life is snapped away by Thanos, the Avengers are left scattered and divided. Now with a way to reverse the damage, the Avengers and their allies must assemble once more and learn to put differences aside in order to work together and set things right. Along the way, the Avengers realize that sacrifices must be made as they prepare for the ultimate final showdown with Thanos, which will result in the heroes fighting the biggest battle they have ever faced.Avengers: Endgame picks up after the events of Avengers: Infinity War, which saw the Avengers divided and defeated. Thanos won the day and used the Infinity Stones to snap away half of all life in the universe. Only the original Avengers - Iron Man, Captain America, Thor, Hulk, Black Widow, and Hawkeye remain, along with some key allies like War Machine, Ant-Man, Rocket Raccoon, Nebula, and Captain Marvel. Each of the survivors deals with the fallout from Thanos' decimation in different ways, but when an opportunity presents itself to potentially save those who vanished, they all come together and set out to defeat Thanos, once and for all."
beachbummovie,A rebellious stoner named Moondog lives life by his own rules.
bernadettefilm,"A loving mom becomes compelled to reconnect with her creative passions after years of sacrificing herself for her family. Her leap of faith takes her on an epic adventure that jump-starts her life and leads to her triumphant rediscovery.Based on the runaway bestseller, Where'd You Go, Bernadette is an inspiring comedy about Bernadette Fox ""Academy Award winner Cate Blanchett"", a loving mom who becomes compelled to reconnect with her creative passions after years of sacrificing herself for her family. Bernadette's leap of faith takes her on an epic adventure that jump-starts her life and leads to her triumphant rediscovery."
blindedbythelightmovie,"In England in 1987, a teenager from an Asian family learns to live his life, understand his family and find his own voice through the music of American rock star Bruce Springsteen.In 1987 Britain, Javed Khan is a British-Pakistani college arts student in Luton in a family with a domineering father. Depressed by his oppressive family life and feeling he has no future in a hostile community, a newfound friend introduces Javed to the music of Bruce Springsteen. Touched by the rock star's powerfully eloquent affinity of his own feelings, Javed is inspired to reach out for his own dreams with his own talents. However, although Javed finds friends he never expected in this personal quest, he also finds himself butting heads with his newly unemployed father who stubbornly refuses to understand his son's new aspirations. In this conflict of values in a troubled time, Javed must decide what is truly important to him while his family struggles to understand what has changed and what remains with a new generation feeling born to run."
booksmart,"On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night."
breakthroughmovie,"When her 14-year-old son drowns in a lake, a faithful mother prays for him to come back from the brink of death and be healed.When he was 14, Smith drowned in Lake Saint Louis and was dead for nearly an hour. According to reports at the time, CPR was performed 27 minutes to no avail. Then the youth's mother, Joyce Smith, entered the room, praying loudly. Suddenly, there was a pulse, and Smith came around."
brianbanksmovie,"A football player's dreams to play in the NFL are halted when he is wrongly convicted and sent to prison. Years later, he fights to clear his name within an unjust system.The inspirational true story of Brian Banks (Aldis Hodge), an All-American high school football star committed to USC who finds his life upended when he is wrongly convicted of a crime he didn't commit. Despite lack of evidence, Banks is railroaded through a broken justice system and sentenced to a decade of prison and probation. Years later, with the support of Justin Brooks (Greg Kinnear) and the California Innocence Project, Banks fights to reclaim his life and fulfill his dreams of playing in the NFL."
brightburnmovie,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?"
brittanyrunsmov,"A young woman decides to make positive changes in her life by training for the New York City Marathon.Hilarious, outgoing and always up for a good time, New Yorker Brittany Forgleris everybody's best friend -- except maybe her own. At 27, her hard-partying ways, chronic underemployment and toxic relationships are catching up with her, but when she stops by a new doctor's office to try to score some Adderall, she gets slapped with a prescription she never wanted: Get healthy. Too broke for a gym and too proud to ask for help, Brit is at a loss, until her seemingly together neighbor Catherine pushes her to lace up her Converse sneakers and run one sweaty block. The next day, she runs two. And soon, after finishing her first mile, she sets an almost unthinkable goal: running in the New York City Marathon."
captainmarvelofficial,"Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.After crashing an experimental aircraft, Air Force pilot Carol Danvers is discovered by the Kree and trained as a member of the elite Starforce Military under the command of her mentor Yon-Rogg. Six years later, after escaping to Earth while under attack by the Skrulls, Danvers begins to discover there's more to her past. With help from S.H.I.E.L.D. agent Nick Fury, they set out to unravel the truth."
captivestatemovie,"Set in a Chicago neighborhood nearly a decade after an occupation by an extraterrestrial force, 'Captive State' explores the lives on both sides of the conflict - the collaborators and dissidents."
childsplaymovie,"A mother gives her 13-year-old son a toy doll for his birthday, unaware of its more sinister nature, he also kills people who disobeyed Andy.After moving to a new city, young Andy Barclay receives a special present from his mother -- a seemingly innocent Buddi doll that becomes his best friend. When the doll suddenly takes on a life of its own, Andy unites with other neighborhood children to stop the sinister toy from wreaking bloody havoc."
clarathefilm,"An obsessive astronomer and a curious artist form an unlikely bond which leads them to a profound, scientific discovery."
